position,person,personID,start,end
ambassador to India,أسامة العلي,Q106777214,2003-04-16,2009
ambassador to India,عدلي صادق,Q96769584,2009-09-25,2014
ambassador to India,Adnan Abu al-Hayjaa,Q101055268,2014-09-25,
ambassador to Indonesia,Fariz Mehdawi,Q83375088,2006,2016
ambassador to Indonesia,Zuhair Al-Shun,Q82082019,2018-01-17,
ambassador to Iran,Salah Zawawi,Q25424401,1981-02,2022
ambassador to Iran,سلام الزواوي,Q114455283,2022,
ambassador to Iraq,أحمد بدر عقل,Q100151842,2014,
ambassador to Italy,Nemer Hammad,Q16581882,1974,2005
ambassador to Italy,صبري عطية,Q104218739,2006,2013
ambassador to Italy,Mai al-Kaila,Q63349096,2013,2019
ambassador to Italy,Abeer Odeh,Q27146386,2019-09,
ambassador to Ivory Coast,Abdal Karim Ewaida,Q99522189,2018-05-17,
ambassador to Japan,Baker Abdel Munem,Q4849108,1983,
ambassador to Jordan,عمر سعد الدين الخطيب,Q101772998,1995,2005
ambassador to Jordan,عطا الله خيري,Q98922721,2006-01-07,
ambassador to Kazakhstan,Mohammed Tarshahani,Q48955400,1993-06,2005
ambassador to Kazakhstan,وليد حسن,Q102015800,2006-06-12,2008
ambassador to Kazakhstan,حسين أبو العلا,Q102017803,2008,
ambassador to Kazakhstan,Montaser Abu Zeid,Q101190577,2015,
ambassador to Kenya,Zuhair Al-Shun,Q82082019,2008-04-11,2015
ambassador to Kenya,Nasri Abu Jaish,Q82059994,2015-12-12,2018
ambassador to Kenya,Hazem Shabat,Q101830187,2018-12-09,
ambassador to Kuwait,Rami Tahboub,Q100151229,2013-01-15,
ambassador to Kyrgyzstan,Asad Al Asad,Q101833764,2007-05-23,2013
ambassador to Kyrgyzstan,Mohammed Tarshahani,Q48955400,2014-04-23,2022
ambassador to Kyrgyzstan,Jawad Awad,Q20387804,2023-01-31,
ambassador to Lebanon,أشرف دبور,Q99484538,2012,
ambassador to Lesotho,Hashem Dajani,Q97168287,2016-02,2019-12-01
ambassador to Lesotho,Hanan Jarrar,Q100255658,2021-09-30,
ambassador of Libya,باسم الآغا,Q101094664,2006,2008
ambassador of Libya,al-Mutawakkil Ṭāhā,Q42342915,2012,2015
ambassador to Lithuania,Taissir Aladjouri,Q101069269,2016-08-15,
ambassador to Luxembourg,عبد الرحيم الفرا,Q102047791,2015-10-28,
ambassador to Malawi,Hashem Dajani,Q97168287,2010-03-17,2015-09-16
ambassador to Malawi,Taghrid Senouar,Q101831476,2017-07-26,
ambassador to Malaysia,أحمد الفرا,Q106678761,1982,2005
ambassador to Malaysia,Abdul Aziz Abu Ghosh,Q101778213,2006,2013
ambassador to Malaysia,Anwar Elagha,Q106862716,2014-06-23,2018
ambassador to Malaysia,Walid Abu Ali,Q20635435,2018-09-21,
